PD-173074,Bicalutamide,Embelin,5-Fluorouracil,KIN001-055,MS-275,Shikonin,Imatinib,Vorinostat,Temozolomide,Mitomycin C,Cytarabine,Phenformin,Camptothecin,Doxorubicin,Etoposide,NSC-207895,Gemcitabine,AICAR,S-Trityl-L-cysteine,Bexarotene,Cisplatin,NSC-87877,SN-38,Gefitinib,CEP-701,Methotrexate,Docetaxel,BIRB 0796,Tipifarnib,SB 216763,LY317615,Erlotinib,Lapatinib,Sorafenib,Lenalidomide,Elesclomol,Bortezomib,Cyclopamine,ATRA,Thapsigargin,T0901317,Epothilone B,MG-132,IPA-3,DMOG,piperlongumine,Nilotinib,STF-62247,CCT018159,Tubastatin A,CCT007093,Tamoxifen,FTI-277,Dasatinib,FH535,QS11,EX-527,KU-55933,Bryostatin 1,AS605240,Vinorelbine,GNF-2,Bosutinib,Sunitinib,PD-0332991,Bleomycin,Bleomycin (50 uM),Salubrinal,LAQ824,EKB-569,Axitinib,Ispinesib Mesylate,17-AAG,Vinblastine,PIK-93,FK866,Temsirolimus,CI-1040,Belinostat,AR-42,Parthenolide,RO-3306,A-770041,Y-39983,BMS345541,PD-0325901,Midostaurin,SB 505124,(5Z)-7-Oxozeaenol,OSI-930,CP724714,PI-103,TPCA-1,TGX221,Zibotentan,Tivozanib,ZM-447439,AG-014699,EHT 1864,GW 441756,TAK-715,CHIR-99021,YM201636,SB52334,OSU-03012,Masitinib,BX-795,AS601245,Pazopanib,selumetinib,Afatinib,BAY 61-3606,Saracatinib,VX-702,681640,SL 0101-1,PHA-665752,AZD7762,YM155,MP470,NU-7441,AT-7519,GSK429286A,Obatoclax Mesylate,Nutlin-3a (-),TW 37,Linifanib,FR-180204,JNJ-26854165,GW-2580,JNK Inhibitor VIII,CAL-101,Crizotinib,KIN001-135,VX-11e,Linsitinib,ZSTK474,AMG-706,AZ628,Trametinib,PF-562271,BX-912,WH-4-023,Veliparib,BEZ235,TAE684,GSK269962A,CMK,MLN4924,TG101348,GSK690693,BHG712,Z-LLNle-CHO,GDC0941,BMS-509744,OSI-027,Olaparib,PLX4720,CUDC-101,SNX-2112,GDC0449,BMS-754807,AP-24534,AC220,VNLG/124,CAY10603,Navitoclax,GSK-650394,XL-184,GSK1904529A,Ruxolitinib,GSK2126458,MPS-1-IN-1,JNK-9L,CX-5461,AZD8055,Foretinib,AZD6482,KIN001-266,RDEA119,Dabrafenib,CP466722,YK 4-279,PHA-793887,UNC0638,XMD8-92,XMD8-85,BMS-708163,GSK1070916,JQ1,MK-2206,I-BET-762,CH5424802,WZ-1-84,JW-7-52-1,HG-6-64-1,NG-25,LFM-A13,IOX2,SGC0946,KIN001-244,UNC1215,ZG-10,KIN001-270,PFI-1,QL-XII-47,QL-X-138,Cetuximab,AKT inhibitor VIII,XAV939,PAC-1,SB590885,BMS-536924,KIN001-260,AUY922,Talazoparib,BIX02189
VIM,FBLN1,FBLN1,PTMS,DCBLD2,KRT19,FBLN1,DCBLD2,COL6A2,DCBLD2,COL1A2,COL6A2,COL6A2,EFEMP1,COL18A1,KRT7,MUC16,COL6A2,FBLN1,POLR2A,EFEMP1,MUC16,DCBLD2,MUC1,CTTN,FBLN1,FBLN1,EFEMP1,FBLN1,COL6A2,MUC16,FBLN1,KRT7,DCBLD2,DCBLD2,DCBLD2,CALD1,KRT19,KRT19,DBN1,MUC1,FBLN1,COL1A2,PEA15,COL18A1,COL1A2,MUC16,PEA15,COL6A2,COL6A2,FBLN1,FBLN1,DCBLD2,COL1A1,KRT7,COL1A2,POLR2A,DCBLD2,DCBLD2,EFEMP1,DCBLD2,COL18A1,DCBLD2,DBN1,DBN1,MUC1,DCBLD2,EFEMP1,COL18A1,COL1A1,COL6A2,EFEMP1,COL6A2,ASPH,FBLN1,COL1A1,PTMS,SPINT2,FBLN1,COL6A2,COL6A2,MUC1,FBLN1,DCBLD2,LTBP3,LTBP3,CTTN,CALD1,DCBLD2,EFEMP1,PTMS,MUC1,LTBP3,PTMS,DCBLD2,MUC16,DCBLD2,DCBLD2,AHNAK,OTUD5,EFEMP1,CTTN,EFEMP1,PTMS,DCBLD2,EVPL,FBLN1,EFEMP1,DCBLD2,MUC16,CTTN,FBLN1,VIM,VIM,POLR2A,MUC16,EFEMP1,ASPH,CALD1,COL6A2,PTMS,COL6A2,PTMS,EFEMP1,DCBLD2,DCBLD2,EFEMP1,MUC16,VIM,COL6A2,FBLN1,PTMS,VIM,COL1A2,DCBLD2,FBLN1,MGAT4B,COL6A2,FBLN1,COL6A2,EFEMP1,ASPH,PTMS,KRT19,COL6A2,COL6A2,COL6A2,FBLN1,POLR2A,DBN1,FBLN1,FBLN1,COL6A2,EVPL,COL18A1,MUC1,FBLN1,MUC1,DCBLD2,FBLN1,COL6A2,MUC1,MGAT4B,PEA15,DCBLD2,MUC1,FBLN1,DCBLD2,COL1A2,EVPL,COL1A1,MUC16,LTBP3,COL6A2,KRT19,FBLN1,LTBP3,COL6A2,CALD1,THBS3,CRIM1,LTBP3,PTMS,FBLN1,FBLN1,COL6A2,EVPL,VIM,MUC16,COL1A1,MUC1,MUC1,PTMS,COL6A2,VIM,FBLN1,CRIM1,LTBP3,MUC16,PTMS,CRIM1,FBLN1,DCBLD2,KRT7,COL6A2,DCBLD2,ASPH,FBLN1,PTMS,FBLN1,FBLN1,POLR2A,COL1A2,LMNB2,LTBP3,KRT19,LTBP3,MUC16
POLR2A,MUC16,LTBP3,COL1A1,ASPH,MUC1,KRT7,COL6A2,FBLN1,EFEMP1,COL6A2,VIM,FBLN1,CALD1,COL6A2,ENO2,COL6A2,DCBLD2,EFEMP1,MUC1,CALD1,CRIM1,EFEMP1,CALD1,FBLN1,EFEMP1,COL6A2,MUC16,COL1A1,EVPL,CRIM1,EFEMP1,COL6A2,COL6A2,COL18A1,ASPH,MGAT4B,MUC1,DCBLD2,KRT19,ENO2,CTTN,COL6A2,KRT7,POLR2A,FBLN1,SPINT2,COL1A2,DCBLD2,MUC1,COL1A1,CRIM1,POLR2A,FBLN1,EVPL,MUC1,MUC1,COL6A2,MGAT4B,FBLN1,LTBP3,COL6A2,COL6A2,KRT7,PEA15,COL6A2,EVPL,CALD1,COL6A2,COL6A2,MUC16,DCBLD2,COL1A1,MUC16,CALD1,COL6A2,FBLN1,MGAT4B,MUC16,FBLN1,FBLN1,FBLN1,DCBLD2,MGAT4B,COL6A2,COL1A1,FBLN1,EFEMP1,LTBP3,LTBP3,COL1A1,COL7A1,COL1A1,COL6A2,COL6A2,LTBP3,COL6A2,COL6A2,EFEMP1,FUBP3,FBLN1,FBLN1,SPINT2,COL6A2,MUC16,MUC1,COL6A2,CALD1,SPINT2,DCBLD2,FBLN1,CRIM1,MUC1,MUC1,MUC1,SPINT2,FBLN1,CRIM1,EFEMP1,MUC16,COL1A1,CRIM1,COL1A1,FBLN1,MGAT4B,KRT7,SPINT2,COL6A2,MUC1,DCBLD2,ASPH,FBLN1,DCBLD2,MUC1,COL1A2,MUC16,DCBLD2,CRIM1,COL1A1,MUC1,MUC16,CRIM1,COL6A2,MUC1,COL1A2,DCBLD2,DBN1,CRIM1,MUC1,PEA15,COL1A1,MUC16,MUC16,COL6A2,DCBLD2,KRT19,COL1A1,COL6A2,COL1A2,PTMS,PTMS,DBN1,COL1A2,FBLN1,COL6A2,VIM,COL1A1,MUC16,COL6A2,MUC1,FBLN1,MCAM,MUC16,COL1A1,MUC1,CTTN,PTMS,COL1A2,EFEMP1,SWAP70,FBLN1,EFEMP1,COL6A2,KRT7,COL1A1,COL1A1,PEA15,MUC1,ASPH,FBLN1,DCBLD2,EVPL,FBLN1,MUC1,MUC1,COL6A2,COL6A2,COL6A2,CRIM1,FBLN1,FBLN1,DCBLD2,EFEMP1,EVPL,DCBLD2,EFEMP1,DCBLD2,DCBLD2,COL1A1,COL6A2,COL6A2,DCBLD2,COL6A2,MCAM,COL6A2,VIM,CALD1,CRIM1
MUC1,EFEMP1,COL1A2,COL6A2,COL1A2,DBN1,DBN1,CALD1,COL1A1,SPINT2,CALD1,KRT19,MUC16,MGAT4B,MUC1,DCBLD2,EFEMP1,LTBP3,SPINT2,KRT7,AHNAK,DCBLD2,SPINT2,FBLN1,DCBLD2,ASPH,COL1A1,CALD1,MUC16,FBLN1,FBLN1,SPINT2,FBLN1,ASPH,COL6A2,COL1A2,EFEMP1,COL6A2,KRT7,EVPL,FBLN1,MUC16,CALD1,DCBLD2,COL6A2,CALD1,EFEMP1,PTMS,LTBP3,CALD1,MUC16,MUC16,COL6A2,PTMS,DCBLD2,KRT7,DCBLD2,COL18A1,POLR2A,SPINT2,COL6A2,MUC1,MGAT4B,FBLN1,FBLN1,CALD1,KRT7,MUC16,MUC1,PTMS,CTTN,SPINT2,PTMS,FBLN1,COL1A2,MUC16,COL1A1,CALD1,CRIM1,COL1A1,COL1A1,POLR2A,CTTN,ASPH,MUC16,COL6A2,DCBLD2,AHNAK,COL6A2,AHNAK,COL6A2,DCBLD2,COL6A2,COL1A1,CALD1,SPINT2,POLR2A,LTBP3,CALD1,ITGBL1,SPINT2,DCBLD2,CALD1,COL1A1,CRIM1,KRT7,MUC16,FBLN1,EFEMP1,CRIM1,DCBLD2,AHNAK,COL6A2,COL6A2,EVPL,EFEMP1,SPINT2,DCBLD2,AHNAK,EFEMP1,COL6A2,EFEMP1,COL6A2,SPINT2,COL6A2,PEA15,FBLN1,EFEMP1,DCBLD2,LTBP3,EFEMP1,COL1A1,MUC1,DCBLD2,COL6A2,DCBLD2,ASPH,EFEMP1,PTMS,COL18A1,CALD1,DCBLD2,COL1A1,KRT7,CALD1,LTBP3,COL7A1,MUC16,DCBLD2,FBLN1,PTMS,DCBLD2,CTTN,FBLN1,COL6A2,EVPL,PTMS,CALD1,COL6A2,COL1A1,COL1A1,EVPL,CRIM1,DBN1,MUC1,COL6A2,PTMS,CRIM1,CALD1,KRT7,PTMS,THBS3,COL6A2,PTMS,KRT7,MUC16,COL6A2,CALD1,SPINT2,LMNB2,MUC16,FBLN1,COL1A1,COL6A2,PTMS,MUC16,KRT7,DCBLD2,EFEMP1,MUC16,EVPL,DBN1,COL1A1,POLR2A,DCBLD2,EVPL,SPINT2,MUC16,DCBLD2,COL1A1,MUC16,MUC16,ASPH,DCBLD2,LTBP3,COL6A2,EFEMP1,MUC16,FBLN1,COL1A1,COL1A1,COL6A2,MGAT4B,ITM2C,MUC16,COL6A2,COL1A2,DCBLD2
COL6A2,CRIM1,MGAT4B,MUC16,COL6A2,EVPL,PEA15,MUC1,MUC16,COL1A2,MUC1,EVPL,DCBLD2,AHNAK,CALD1,ADPGK,SPINT2,COL1A2,CALD1,DBN1,MGAT4B,EFEMP1,ASPH,COL18A1,MUC16,SPINT2,MUC16,COL8A1,DCBLD2,PEA15,AHNAK,CALD1,KRT19,LTBP3,MUC1,CRIM1,AHNAK,DCBLD2,EVPL,KRT7,PEA15,DCBLD2,MUC1,FBLN1,MUC1,MUC1,COL8A1,ASPH,ASPH,COL18A1,PTMS,EFEMP1,MUC1,MUC16,DBN1,DBN1,COL6A2,MUC1,ASPH,CALD1,CALD1,CALD1,CALD1,PEA15,DCBLD2,VIM,DBN1,COL8A1,CALD1,MUC16,EFEMP1,COL1A2,MUC16,EFEMP1,LTBP3,PTMS,MUC16,FBLN1,EFEMP1,MUC16,MUC16,ENO2,MUC16,POLR2A,EFEMP1,MUC16,MUC16,MGAT4B,COL1A2,COL8A1,MUC16,ENO2,MUC16,MUC16,MGAT4B,EFEMP1,MUC1,COL1A2,SPINT2,CENPQ,CALD1,MUC16,FBLN1,MUC16,EFEMP1,DBN1,EFEMP1,MGAT4B,ASPH,EFEMP1,MUC16,MUC16,ANP32B,DCBLD2,DBN1,LTBP3,CALD1,COL1A2,SPINT2,DCBLD2,MUC16,DCBLD2,MUC16,CALD1,CALD1,COL7A1,CALD1,DCBLD2,COL6A2,COL1A2,SPINT2,MUC16,COL6A2,COL6A2,ASPH,EFEMP1,CRIM1,DCBLD2,MUC16,VIM,FBLN1,LTBP3,MUC16,EVPL,LTBP3,COL1A2,PEA15,EFEMP1,COL6A2,DCBLD2,MUC16,EFEMP1,DCBLD2,PEA15,MUC1,KRT7,MUC16,COL18A1,LTBP3,MUC16,MUC16,KRT7,DCBLD2,COL6A2,CALD1,COL18A1,MUC16,EFEMP1,MUC1,DBN1,MUC16,LMNB2,SPINT2,MUC16,EVPL,DCBLD2,MUC16,LTBP3,AHNAK,MCAM,AHNAK,COL1A2,MUC16,CALD1,MUC16,PTMS,DBN1,COL6A2,SPINT2,DCBLD2,KRT7,KRT7,MUC16,COL18A1,COL6A2,PEA15,EFEMP1,PTMS,EFEMP1,MUC16,EFEMP1,CTTN,SPINT2,DBN1,COL1A2,ASPH,SPINT2,CTTN,MUC16,MUC16,MUC16,MUC1,CALD1,RAD23B,PTMS,CALD1,FBLN1,EFEMP1
CALD1,SPINT2,CALD1,EFEMP1,LTBP3,KRT7,COL6A2,POLR2A,ANXA2,CALD1,LTBP3,CALD1,EFEMP1,FBLN1,VIM,COL7A1,CTTN,CALD1,ASPH,EVPL,COL8A1,SPINT2,CRIM1,EVPL,EFEMP1,CALD1,ANXA2,MAL2,EFEMP1,DBN1,EFEMP1,ASPH,PEA15,COL1A2,VIM,COL6A2,COL8A1,KRT7,DBN1,POLR2A,ADPGK,EFEMP1,LTBP3,ENO2,CALD1,LTBP3,MGAT4B,CRIM1,CRIM1,KRT7,MAL2,SPINT2,CALD1,DCBLD2,COL7A1,EVPL,CALD1,CALD1,COL6A2,ASPH,COL1A2,POLR2A,ASPH,COL6A2,ENO2,COL18A1,COL7A1,FBLN1,POLR2A,EFEMP1,DCBLD2,CALD1,EFEMP1,CRIM1,MUC1,EFEMP1,MAL2,COL1A2,SPINT2,ANXA2,EFEMP1,PEA15,EFEMP1,COL6A2,SPINT2,EFEMP1,EFEMP1,COL1A2,ASPH,COL7A1,EFEMP1,LTBP1,EFEMP1,EFEMP1,MUC1,COL6A2,CALD1,CALD1,FBLN1,LTBP4,ASPH,EFEMP1,AHNAK,EFEMP1,SPINT2,KRT19,SPINT2,COL1A2,COL1A2,SPINT2,EFEMP1,EFEMP1,DCBLD2,CALD1,KRT7,COL6A2,COL1A2,CTTN,FBLN1,SPINT2,EFEMP1,SPINT2,EFEMP1,ASPH,MUC1,ENO2,MAL2,SPINT2,KRT7,CALD1,CRIM1,ANXA2,COL18A1,CALD1,CALD1,CTTN,POLR2A,SPINT2,MAL2,CALD1,ASPH,COL6A2,EFEMP1,DBN1,MGAT4B,CALD1,FBLN1,CTTN,CALD1,COL7A1,DCBLD2,CTTN,EFEMP1,KRT19,CALD1,DBN1,EFEMP1,VIM,ASPH,EFEMP1,EFEMP1,COL6A2,POLR2A,COL7A1,POLR2A,POLR2A,EFEMP1,SPINT2,LTBP3,COL6A2,DCBLD2,ITM2C,EFEMP1,EFEMP1,DBN1,EFEMP1,EFEMP1,MGAT4B,FBLN1,EFEMP1,EFEMP1,CALD1,EFEMP1,COL7A1,DCBLD2,EFEMP1,COL6A2,CALD1,CRIM1,EFEMP1,POLR2A,COL6A2,EFEMP1,CALD1,CALD1,KRT7,DCBLD2,EFEMP1,SPINT2,MAL2,CTTN,EFEMP1,CRIM1,COL7A1,ASPH,CRIM1,CRIM1,EFEMP1,MAL2,ANXA2,EFEMP1,CALD1,LTBP3,FAT1,EFEMP1,EVPL,MGAT4B,SPINT2
COL18A1,CALD1,MUC1,DCBLD2,CRIM1,COL6A2,ENO2,MGAT4B,MAL2,ASPH,MGAT4B,KRT7,SPINT2,COL1A2,POLR2A,LTBP1,DCBLD2,MAL2,MAL2,DCBLD2,COL1A2,CTTN,COL1A2,COL7A1,AHNAK,CRIM1,EFEMP1,FBLN1,MAL2,KRT19,CALD1,COL1A2,DBN1,CRIM1,CALD1,CALD1,FBLN1,JUP,POLR2A,DCBLD2,COL7A1,SPINT2,MGAT4B,COL7A1,MGAT4B,CPSF6,COL7A1,MEF2D,COL1A2,EVPL,DCBLD2,CTTN,MGAT4B,EFEMP1,COL6A2,DCBLD2,KRT7,CRIM1,CALD1,MAL2,ASPH,VIM,MUC1,ENO2,COL7A1,KRT7,CALD1,SPINT2,VIM,SPINT2,SPINT2,ASPH,DCBLD2,CALD1,CPSF6,SPINT2,ANXA2,AHNAK,CTTN,MAL2,MAL2,COL6A2,MAL2,CRIM1,DCBLD2,ANXA2,MAL2,FBLN1,CRIM1,LINC01089,SPINT2,PEA15,SPINT2,ANXA2,LTBP3,DCBLD2,MGAT4B,ASPH,COL8A1,WDR5,COL1A2,MAL2,COL1A2,DCBLD2,CTTN,COL6A2,DCBLD2,AHNAK,CALD1,CTTN,SPINT2,CTTN,CTTN,JUP,DCBLD2,DCBLD2,ASPH,COL6A2,COL8A1,CTTN,ANXA2,CTTN,SPINT2,COL1A2,ASPH,ADPGK,AHNAK,CTTN,CALD1,ASPH,CALD1,MAL2,CALD1,KRT7,LTBP3,SPINT2,COL6A2,CTTN,DCBLD2,POLR2A,COL8A1,CTTN,ANXA2,COL6A2,MUC1,MUC1,DCBLD2,SPINT2,KRT7,ENO2,EFEMP1,SPINT2,SPINT2,DBN1,MGAT4B,COL6A2,DCBLD2,KRT7,CALD1,DCBLD2,DCBLD2,ENO2,CTTN,ENO2,MGAT4B,CALD1,MAL2,CALD1,GJB3,ENO2,MAL2,FAT1,DCBLD2,DCBLD2,DCBLD2,SPINT2,SPINT2,MUC1,COL1A2,ITM2C,CTTN,MAL2,DCBLD2,DBN1,EFEMP1,DCBLD2,ENO2,JUP,CALD1,MAL2,COL6A2,KRT19,MAL2,VIM,COL18A1,DBN1,CTTN,SPINT2,CTTN,DCBLD2,SPINT2,SPINT2,CALD1,COL6A2,CALD1,CALD1,CALD1,SPINT2,ANXA2,EFEMP1,DCBLD2,VIM,MUC1,CUX1,SPINT2,KRT7,MUC1,CTTN
KRT7,MAL2,MAL2,MAL2,CALD1,DCBLD2,COL7A1,LTBP3,DCBLD2,CRIM1,GJB3,COL7A1,MAL2,COL8A1,KRT7,SFPQ,COL1A2,ASPH,AHNAK,COL6A2,FBLN1,COL1A2,CALD1,KRT7,MAL2,MAL2,SPINT2,SPINT2,PTMS,COL7A1,CTTN,MAL2,JUP,CALD1,MGAT4B,LTBP3,COL1A2,CALD1,CALD1,ADPGK,LTBP1,MAL2,GJB3,ADPGK,VIM,COL7A1,LINC01089,ANP32B,CALD1,COL7A1,EFEMP1,CALD1,ASPH,MAL2,KRT19,COL6A2,EVPL,ASPH,MUC1,COL1A2,CRIM1,LTBP3,CRIM1,COL7A1,COL6A2,EVPL,COL6A2,MAL2,MGAT4B,DCBLD2,MAL2,CRIM1,SPINT2,MAL2,MGAT4B,DCBLD2,DCBLD2,MAL2,CALD1,EFEMP1,ANXA2,COL7A1,AHNAK,CALD1,MAL2,SPINT2,SPINT2,COL7A1,CALD1,MUC1,DCBLD2,FBLN1,ANXA2,MAL2,POLR2A,COL1A2,ASPH,MUC1,MAL2,SWAP70,MAL2,SPINT2,MAL2,MAL2,CALD1,ENO2,MAL2,CPSF6,CRIM1,CALD1,MAL2,MAL2,JUP,CTTN,COL6A2,COL1A2,MAL2,LTBP3,COL1A2,COL1A2,SPINT2,COL1A2,MAL2,CRIM1,POLR2A,LTBP1,COL1A2,COL1A2,EVPL,CRIM1,COL1A2,EFEMP1,KRT7,EVPL,CRIM1,CALD1,CALD1,CALD1,EFEMP1,KRT7,SPINT2,COL1A2,MAL2,DCBLD2,GJB3,MAL2,ENO2,AHNAK,COL18A1,COL6A2,MAL2,MAL2,COL1A2,JUP,ASPH,ENO2,MAL2,EVPL,CRIM1,MAL2,ANXA2,KRT19,COL6A2,POLR2A,LTBP3,KRT7,DCBLD2,CTTN,CPSF6,JUP,EFEMP1,DBN1,PTMS,MAL2,COL6A2,MAL2,DCBLD2,GJB3,COL8A1,RAD23B,SPINT2,ASPH,ANXA2,VIM,MAL2,MAL2,ADPGK,COL18A1,COL1A2,SPINT2,DBN1,ENO2,ANXA2,GJB3,KRT7,JUP,COL1A2,DCBLD2,CALD1,ANXA2,MAL2,CALD1,COL1A2,CALD1,CRIM1,COL1A2,COL1A2,MAL2,DCBLD2,MAL2,SPINT2,MGAT4B,ASPH,SPATS2L,DCBLD2,COL7A1,CPSF6,COL1A2
EVPL,COL1A2,GJB3,ANXA2,CTTN,JUP,LTBP1,VIM,EFEMP1,MAL2,CPSF6,DBN1,COL1A2,CPSF6,GJB3,PEA15,CALD1,MUC1,COL1A2,CALD1,COL7A1,MAL2,MAL2,CPSF6,SPINT2,AHNAK,MAL2,COL1A2,SPINT2,JUP,MAL2,CRIM1,COL7A1,CTTN,ASPH,CTTN,MAL2,EVPL,COL6A2,ENO2,DCBLD2,COL1A2,CPSF6,LTBP1,ASPH,GJB3,COL1A2,COL6A2,CTTN,VIM,SPINT2,AHNAK,CRIM1,ANXA2,ENO2,CALD1,JUP,MGAT4B,CRIM1,AHNAK,MAL2,GJB3,POLR2A,ADPGK,LTBP1,COL7A1,ENO2,COL1A2,GJB3,MAL2,COL1A2,MAL2,MAL2,COL8A1,GJB3,MAL2,EFEMP1,MUC1,COL1A2,DCBLD2,DCBLD2,ADPGK,SPINT2,MUC1,COL1A2,MAL2,AHNAK,MUC1,MAL2,COL1A2,MAL2,COL6A2,DCBLD2,DCBLD2,ASPH,CALD1,VIM,MAL2,COL1A2,RAD23B,CRIM1,AHNAK,COL8A1,ANXA2,MAL2,JUP,PTMS,MUC1,MAL2,COL1A2,AHNAK,CALD1,CALD1,CRIM1,ADPGK,CALD1,CRIM1,CALD1,MAL2,CALD1,DCBLD2,CALD1,DCBLD2,MAL2,LTBP3,FBLN1,ASPH,CALD1,JUP,MUC1,MAL2,DCBLD2,GJB3,DBN1,MUC1,COL1A2,MUC1,COL1A2,SPINT2,GJB3,MAL2,CALD1,SPINT2,JUP,CPSF6,GJB3,LTBP1,MAL2,EVPL,LTBP1,SPINT2,CALD1,MAL2,COL7A1,VIM,JUP,ANXA2,COL7A1,MUC1,ANXA2,MAL2,JUP,CALD1,DCBLD2,VIM,EVPL,ANXA2,MAL2,MGAT4B,COL7A1,SPINT2,CUX1,COL1A2,SPINT2,JUP,CALD1,MAL2,CPSF6,MAL2,DBN1,MAL2,MUC1,MAL2,LTBP1,ANXA2,SPINT2,COL7A1,GJB3,CTTN,AHNAK,CALD1,ADPGK,DCBLD2,JUP,EVPL,MAL2,MAL2,MAL2,COL1A2,EFEMP1,CALD1,MAL2,MAL2,ENO2,CTTN,MAL2,CTTN,CALD1,EFEMP1,SPINT2,ANXA2,ASPH,GJB3,HSP90AB1,MAL2,DBN1,AHNAK,MAL2
GJB3,CTTN,CPSF6,SPINT2,MUC1,ENO2,JUP,GJB3,SPINT2,MUC1,MAL2,ESRP2,CALD1,MAL2,CPSF6,CNKSR1,MAL2,GJB3,CRIM1,JUP,CPSF6,CALD1,CTTN,ESRP2,CALD1,COL1A2,DCBLD2,LINC01089,AHNAK,ENO2,SPINT2,GJB3,DCBLD2,MUC1,CRIM1,MUC1,CPSF6,GJB3,ADPGK,COL6A2,COL6A2,CALD1,MAL2,SFPQ,CRIM1,EVPL,MAL2,MUC1,MAL2,CPSF6,ANXA2,MAL2,VIM,SPINT2,CALD1,JUP,COL18A1,VIM,CTTN,CRIM1,MUC1,MGAT4B,LTBP3,LTBP1,ADPGK,CPSF6,ADPGK,LINC01089,LTBP3,ANXA2,CALD1,MUC1,ANXA2,SPINT2,MAL2,ANXA2,SPINT2,CPSF6,MAL2,SPINT2,SPINT2,LTBP1,CALD1,CTTN,PTMS,DCBLD2,CALD1,COL8A1,CTTN,LTBP1,ANXA2,ADPGK,MAL2,SPINT2,CRIM1,MAL2,LTBP3,CRIM1,CPSF6,SSBP1,AHNAK,CALD1,CPSF6,SPINT2,AHNAK,COL7A1,COL1A2,MAL2,GJB3,MAL2,CALD1,SPINT2,KRT7,ANP32B,ENO2,PTMS,MUC1,POLR2A,CPSF6,MAL2,MAL2,MAL2,ANXA2,AHNAK,CRIM1,SFPQ,GJB3,MAL2,DBN1,MAL2,CTTN,SPINT2,EVPL,JUP,CTTN,MAL2,CTTN,MAL2,ANXA2,CPSF6,CRIM1,MUC1,DCBLD2,ENO2,MAL2,CPSF6,CALD1,CALD1,JUP,ADPGK,ANXA2,COL1A2,CALD1,DCBLD2,CRIM1,DCBLD2,SPINT2,CPSF6,CTTN,SPINT2,SPINT2,ADPGK,LTBP3,LTBP1,ASPH,GJB3,SPINT2,COL1A2,VIM,KRT19,ANXA2,SPATS2L,MAL2,ANXA2,CALD1,COL1A2,ANXA2,MAL2,CPSF6,FAT1,CALD1,GJB3,SPINT2,ESRP2,SPINT2,ANXA2,JUP,KRT7,MAL2,COL1A2,ADPGK,COL7A1,SPINT2,LTBP3,GJB3,COL7A1,CALD1,COL1A2,MAL2,SPINT2,AHNAK,COL1A2,CTTN,KRT19,MAL2,CTTN,MAL2,COL1A2,AHNAK,DCBLD2,MAL2,CRIM1,CRIM1,FASN,COL1A2,CPSF6,COL7A1,CALD1
JUP,AHNAK,MYC,AHNAK,MAL2,CALD1,SPARC,CPSF6,AHNAK,GJB3,KRT7,CPSF6,PTMS,MUC1,LTBP3,MCAM,GJB3,CRIM1,GJB3,ENO2,MUC1,GJB3,MUC1,VIM,COL1A2,GJB3,POLR2A,COL7A1,ANXA2,DCBLD2,COL1A2,AHNAK,ENO2,MAL2,LTBP3,POLR2A,COL7A1,MAL2,ENO2,CALD1,SFPQ,AHNAK,KRT7,COL6A2,GJB3,KRT7,MUC1,JUP,MUC1,ESRP2,COL1A2,COL1A2,LTBP3,AHNAK,ADPGK,ADPGK,CPSF6,GJB3,LTBP3,GJB3,GJB3,CPSF6,CTTN,ANKRD36,CALD1,ESRP2,KRT19,CPSF6,CPSF6,COL1A2,GJB3,GJB3,COL1A2,CTTN,COL7A1,COL1A2,AHNAK,GJB3,AHNAK,POLR2A,AHNAK,ANKRD36,COL1A2,LTBP3,CALD1,POLR2A,COL1A2,CPSF6,MUC1,CPSF6,POLR2A,CNKSR1,POLR2A,COL1A2,GJB3,PTMS,CRIM1,GJB3,ASPH,CNTROB,MUC1,COL1A2,MUC1,COL1A2,COL1A2,ADPGK,CALD1,COL7A1,MUC1,GJB3,COL1A2,COL8A1,CRIM1,ASPH,CALD1,MAL2,GJB3,MUC1,COL7A1,GJB3,POLR2A,GJB3,POLR2A,GJB3,GJB3,CNKSR1,CPSF6,GJB3,COL18A1,GJB3,AHNAK,AHNAK,ASPH,COL18A1,GJB3,AHNAK,LTBP3,GJB3,AHNAK,EVPL,COL1A2,GJB3,POLR2A,CALD1,KRT7,ASPH,SPARC,COL1A2,DBN1,ESRP2,AHNAK,AHNAK,GJB3,CALD1,CTTN,ADPGK,AHNAK,GJB3,GJB3,COL1A2,COL1A2,COL7A1,MUC1,JUP,GJB3,CPSF6,AHNAK,AHNAK,KRT7,ADPGK,AHNAK,RAD23B,CALD1,COL1A2,ENO2,AHNAK,COL1A2,MYC,MUC1,SPATS2L,COL1A2,CRIM1,COL1A2,KRT19,AHNAK,COL1A2,KRT19,CRIM1,GJB3,CALD1,COL7A1,DCBLD2,AHNAK,KRT7,JUP,ENO2,GJB3,CALD1,GJB3,AHNAK,COL1A2,AHNAK,GJB3,ESRP2,MUC1,MUC1,GJB3,AHNAK,SPINT2,POLR2A,POLR2A,GJB3,MAL2,DBN1,ANXA2,ESRP2,MAL2,GJB3
