pairs,true,predict
"(209, 476)",1,1
"(200, 330)",1,1
"(208, 275)",1,1
"(196, 484)",1,1
"(145, 401)",1,1
"(184, 427)",1,1
"(184, 303)",1,1
"(73, 406)",1,1
"(98, 237)",1,1
"(131, 301)",1,1
"(155, 321)",1,0
"(188, 484)",1,0
"(2, 218)",1,0
"(138, 246)",1,1
"(46, 242)",1,1
"(166, 314)",1,1
"(127, 474)",1,1
"(25, 465)",1,1
"(192, 225)",1,1
"(67, 246)",1,1
"(164, 264)",1,1
"(8, 378)",1,1
"(35, 468)",1,1
"(53, 457)",1,1
"(208, 248)",1,1
"(76, 429)",1,1
"(73, 282)",1,1
"(102, 406)",1,1
"(28, 276)",1,1
"(193, 392)",1,0
"(196, 401)",1,1
"(102, 349)",1,1
"(147, 454)",1,1
"(138, 412)",1,1
"(76, 463)",1,1
"(138, 468)",1,1
"(110, 282)",1,1
"(139, 483)",1,1
"(77, 437)",1,1
"(196, 264)",1,1
"(122, 348)",1,1
"(130, 479)",1,0
"(30, 437)",1,1
"(129, 359)",1,0
"(166, 333)",1,1
"(111, 266)",1,1
"(199, 268)",1,1
"(146, 359)",1,0
"(111, 410)",1,1
"(76, 339)",1,1
"(214, 312)",1,1
"(145, 266)",1,1
"(129, 274)",1,1
"(127, 256)",1,0
"(98, 316)",1,1
"(12, 264)",1,1
"(48, 465)",1,1
"(137, 264)",1,1
"(199, 374)",1,1
"(101, 245)",1,1
"(162, 353)",1,1
"(4, 297)",1,1
"(11, 370)",1,1
"(212, 264)",1,1
"(209, 437)",1,1
"(212, 275)",1,0
"(73, 396)",1,1
"(41, 229)",1,1
"(36, 268)",1,1
"(122, 268)",1,1
"(130, 404)",1,1
"(181, 402)",1,1
"(134, 344)",1,0
"(103, 303)",1,1
"(210, 268)",1,1
"(147, 248)",1,1
"(97, 408)",1,1
"(71, 293)",1,1
"(76, 450)",1,1
"(182, 442)",1,1
"(45, 252)",1,1
"(131, 327)",1,1
"(185, 438)",1,1
"(182, 419)",1,1
"(69, 452)",1,0
"(110, 402)",1,1
"(49, 274)",1,1
"(206, 310)",1,1
"(45, 331)",1,1
"(120, 225)",1,1
"(122, 245)",1,1
"(19, 265)",1,1
"(72, 372)",1,1
"(72, 318)",1,1
"(27, 240)",1,1
"(3, 268)",1,1
"(170, 229)",1,1
"(192, 325)",1,0
"(96, 354)",1,1
"(8, 277)",1,1
"(200, 233)",1,1
"(11, 303)",1,1
"(160, 353)",1,1
"(103, 284)",1,1
"(82, 221)",1,1
"(147, 274)",1,1
"(80, 339)",1,1
"(159, 432)",1,1
"(3, 241)",1,1
"(30, 241)",1,1
"(80, 437)",1,1
"(178, 247)",1,1
"(21, 259)",1,1
"(82, 393)",1,0
"(142, 465)",1,1
"(85, 303)",1,1
"(111, 291)",1,0
"(166, 437)",1,1
"(159, 290)",1,1
"(199, 236)",1,0
"(97, 401)",1,1
"(60, 242)",1,1
"(30, 249)",1,1
"(41, 372)",1,1
"(160, 299)",1,1
"(163, 359)",1,0
"(27, 359)",1,1
"(181, 230)",1,0
"(101, 243)",1,1
"(122, 242)",1,1
"(46, 359)",1,1
"(78, 412)",1,1
"(106, 225)",1,1
"(209, 372)",1,1
"(13, 375)",1,1
"(183, 294)",1,1
"(83, 438)",1,0
"(86, 282)",1,1
"(138, 330)",1,1
"(131, 229)",1,1
"(89, 401)",1,1
"(30, 247)",1,1
"(85, 372)",1,1
"(124, 351)",1,1
"(215, 351)",1,1
"(60, 439)",1,1
"(185, 391)",1,1
"(150, 255)",1,1
"(79, 273)",1,1
"(18, 373)",1,1
"(92, 397)",1,1
"(8, 273)",1,1
"(153, 268)",1,0
