pairs,true,predict
"(44, 294)",1,1
"(110, 258)",1,0
"(210, 412)",1,1
"(182, 432)",1,1
"(18, 331)",1,1
"(130, 480)",1,1
"(18, 487)",1,1
"(201, 294)",1,1
"(142, 487)",1,1
"(150, 256)",1,1
"(199, 373)",1,1
"(192, 461)",1,1
"(164, 487)",1,1
"(27, 243)",1,1
"(79, 373)",1,1
"(123, 476)",1,1
"(51, 410)",1,1
"(160, 465)",1,1
"(36, 245)",1,1
"(124, 430)",1,1
"(39, 283)",1,1
"(126, 314)",1,1
"(131, 405)",1,1
"(87, 353)",1,1
"(79, 484)",1,1
"(40, 265)",1,1
"(166, 419)",1,1
"(24, 368)",1,1
"(53, 474)",1,1
"(178, 367)",1,0
"(49, 248)",1,1
"(55, 323)",1,0
"(137, 255)",1,1
"(138, 335)",1,1
"(149, 359)",1,1
"(118, 389)",1,1
"(140, 302)",1,1
"(203, 229)",1,0
"(8, 437)",1,1
"(93, 411)",1,0
"(160, 314)",1,1
"(140, 369)",1,1
"(78, 225)",1,0
"(1, 378)",1,1
"(53, 437)",1,1
"(140, 282)",1,1
"(98, 268)",1,1
"(1, 229)",1,1
"(93, 353)",1,1
"(110, 372)",1,1
"(80, 271)",1,1
"(159, 230)",1,1
"(95, 378)",1,1
"(8, 410)",1,1
"(12, 367)",1,0
"(69, 373)",1,1
"(66, 359)",1,0
"(175, 317)",1,1
"(209, 317)",1,1
"(126, 465)",1,1
"(50, 312)",1,1
"(84, 422)",1,0
"(85, 438)",1,1
"(152, 437)",1,1
"(197, 225)",1,1
"(137, 249)",1,1
"(100, 352)",1,0
"(122, 310)",1,1
"(199, 419)",1,1
"(138, 245)",1,1
"(72, 375)",1,1
"(174, 264)",1,1
"(73, 264)",1,1
"(86, 384)",1,1
"(25, 311)",1,1
"(150, 275)",1,1
"(156, 308)",1,1
"(92, 318)",1,0
"(141, 273)",1,1
"(87, 359)",1,1
"(60, 330)",1,1
"(111, 412)",1,1
"(130, 333)",1,1
"(199, 322)",1,1
"(41, 316)",1,1
"(209, 357)",1,1
"(210, 457)",1,1
"(167, 333)",1,1
"(140, 429)",1,1
"(26, 330)",1,1
"(98, 277)",1,0
"(72, 311)",1,1
"(53, 468)",1,1
"(118, 328)",1,1
"(86, 327)",1,1
"(208, 229)",1,1
"(8, 348)",1,1
"(192, 437)",1,1
"(176, 333)",1,1
"(191, 318)",1,0
"(75, 290)",1,1
"(103, 326)",1,1
"(79, 230)",1,1
"(189, 308)",1,1
"(9, 254)",1,0
"(76, 484)",1,1
"(132, 333)",1,1
"(25, 392)",1,1
"(85, 245)",1,1
"(210, 437)",1,1
"(201, 436)",1,0
"(172, 412)",1,1
"(74, 392)",1,1
"(196, 314)",1,1
"(201, 342)",1,0
"(189, 409)",1,0
"(9, 273)",1,1
"(20, 233)",1,1
"(30, 274)",1,1
"(8, 419)",1,1
"(182, 292)",1,1
"(113, 353)",1,1
"(131, 299)",1,1
"(86, 410)",1,1
"(87, 273)",1,0
"(217, 303)",1,1
"(173, 242)",1,1
"(189, 264)",1,1
"(184, 487)",1,1
"(8, 315)",1,1
"(45, 333)",1,1
"(151, 225)",1,1
"(189, 450)",1,1
"(101, 353)",1,1
"(67, 306)",1,1
"(101, 312)",1,1
"(176, 412)",1,1
"(111, 294)",1,1
"(145, 314)",1,1
"(152, 389)",1,0
"(202, 327)",1,1
"(178, 249)",1,1
"(140, 264)",1,1
"(93, 327)",1,1
"(76, 303)",1,1
"(76, 330)",1,1
"(93, 294)",1,1
"(120, 274)",1,1
"(98, 396)",1,1
"(45, 392)",1,1
"(1, 294)",1,1
"(32, 372)",1,0
"(69, 225)",1,1
"(12, 419)",1,1
"(95, 241)",1,1
"(79, 372)",1,1
"(184, 296)",1,1
"(168, 430)",1,1
"(41, 264)",1,1
"(75, 478)",1,1
"(199, 237)",1,1
"(64, 359)",1,1
"(24, 303)",1,1
"(101, 264)",1,1
"(12, 246)",1,1
"(184, 276)",1,1
"(80, 397)",1,1
"(28, 476)",1,0
"(206, 312)",1,1
"(76, 372)",1,1
"(140, 327)",1,1
"(93, 487)",1,1
"(170, 476)",1,1
"(138, 364)",1,1
"(33, 255)",0,1
