pairs,true,predict
"(109, 237)",1,0
"(3, 437)",1,1
"(93, 420)",1,1
"(208, 276)",1,1
"(69, 353)",1,1
"(132, 328)",1,0
"(140, 397)",1,1
"(85, 348)",1,1
"(170, 487)",1,1
"(112, 292)",1,0
"(176, 256)",1,1
"(3, 321)",1,1
"(123, 294)",1,1
"(86, 375)",1,1
"(111, 261)",1,1
"(106, 310)",1,1
"(15, 359)",1,1
"(197, 278)",1,1
"(73, 245)",1,1
"(2, 485)",1,1
"(130, 316)",1,0
"(204, 382)",1,0
"(209, 225)",1,1
"(131, 312)",1,1
"(67, 434)",1,1
"(172, 372)",1,1
"(182, 294)",1,1
"(208, 304)",1,1
"(144, 330)",1,1
"(192, 329)",1,1
"(197, 314)",1,1
"(79, 290)",1,1
"(188, 314)",1,1
"(188, 392)",1,1
"(98, 229)",1,1
"(192, 255)",1,1
"(119, 478)",1,1
"(102, 225)",1,1
"(177, 264)",1,1
"(103, 264)",1,1
"(12, 290)",1,1
"(59, 400)",1,1
"(3, 225)",1,1
"(109, 243)",1,1
"(80, 256)",1,1
"(50, 391)",1,1
"(124, 393)",1,0
"(36, 241)",1,1
"(50, 225)",1,1
"(111, 401)",1,1
"(33, 397)",1,1
"(41, 353)",1,1
"(138, 397)",1,1
"(74, 292)",1,1
"(10, 429)",1,0
"(178, 353)",1,1
"(92, 353)",1,1
"(11, 454)",1,1
"(178, 242)",1,0
"(72, 424)",1,0
"(13, 475)",1,1
"(25, 314)",1,1
"(184, 375)",1,1
"(150, 266)",1,1
"(102, 359)",1,1
"(197, 300)",1,1
"(140, 364)",1,1
"(138, 282)",1,1
"(27, 353)",1,1
"(208, 412)",1,1
"(206, 294)",1,1
"(214, 438)",1,1
"(21, 408)",1,1
"(199, 249)",1,1
"(119, 256)",1,1
"(122, 264)",1,1
"(16, 318)",1,1
"(160, 264)",1,1
"(156, 292)",1,1
"(131, 341)",1,1
"(200, 457)",1,1
"(130, 334)",1,1
"(199, 335)",1,1
"(210, 476)",1,1
"(8, 463)",1,1
"(180, 302)",1,1
"(111, 230)",1,1
"(198, 405)",1,0
"(140, 326)",1,1
"(106, 278)",1,1
"(131, 276)",1,1
"(27, 249)",1,1
"(73, 450)",1,1
"(208, 256)",1,1
"(160, 352)",1,1
"(78, 330)",1,1
"(86, 412)",1,1
"(33, 333)",1,1
"(121, 480)",1,1
"(85, 434)",1,1
"(150, 268)",1,0
"(189, 230)",1,1
"(159, 316)",1,1
"(182, 233)",1,1
"(36, 274)",1,1
"(140, 300)",1,1
"(54, 280)",1,1
"(119, 270)",1,1
"(214, 388)",1,0
"(131, 271)",1,1
"(87, 418)",1,1
"(77, 233)",1,1
"(140, 248)",1,1
"(123, 303)",1,1
"(184, 353)",1,1
"(80, 352)",1,1
"(3, 256)",1,1
"(101, 434)",1,1
"(73, 461)",1,1
"(209, 480)",1,1
"(75, 419)",1,1
"(107, 314)",1,1
"(210, 340)",1,1
"(166, 476)",1,1
"(28, 419)",1,1
"(25, 358)",1,1
"(50, 294)",1,1
"(170, 404)",1,1
"(33, 268)",1,1
"(142, 459)",1,1
"(80, 368)",1,1
"(11, 311)",1,1
"(147, 353)",1,1
"(150, 316)",1,1
"(110, 310)",1,1
"(207, 266)",1,1
"(88, 259)",1,0
"(185, 389)",1,1
"(122, 225)",1,1
"(25, 401)",1,1
"(121, 233)",1,1
"(101, 247)",1,1
"(156, 468)",1,0
"(86, 264)",1,1
"(67, 480)",1,1
"(67, 241)",1,1
"(76, 241)",1,0
"(77, 242)",1,1
"(173, 229)",1,1
"(201, 303)",1,1
"(168, 452)",1,0
"(100, 229)",1,1
"(161, 301)",1,0
"(160, 412)",1,1
"(88, 425)",1,0
"(93, 284)",1,1
"(161, 330)",1,1
"(170, 486)",1,1
"(192, 229)",1,1
"(137, 308)",1,1
"(40, 460)",1,0
"(72, 249)",1,1
"(160, 229)",1,1
"(73, 254)",1,1
"(31, 467)",1,0
"(208, 461)",1,1
"(137, 312)",1,1
"(21, 266)",1,1
"(26, 476)",1,1
"(166, 290)",1,1
"(1, 397)",1,1
"(13, 427)",1,1
"(107, 242)",1,1
"(138, 357)",1,1
"(185, 312)",1,1
"(164, 384)",1,0
"(74, 401)",1,1
"(8, 333)",1,1
"(185, 437)",1,1
"(217, 333)",1,1
"(82, 410)",1,1
"(207, 223)",1,1
"(124, 333)",1,1
"(17, 397)",1,1
"(101, 387)",1,1
"(8, 353)",1,1
"(90, 233)",1,1
"(82, 271)",1,1
"(178, 233)",1,1
"(1, 392)",1,1
"(27, 271)",1,1
"(116, 480)",1,1
"(116, 303)",1,1
"(150, 278)",1,1
"(180, 389)",1,0
"(27, 245)",1,1
"(200, 225)",1,1
"(72, 303)",1,1
"(151, 461)",1,1
"(22, 463)",1,1
"(93, 450)",1,1
"(185, 222)",1,0
"(85, 463)",1,1
"(111, 365)",1,1
"(120, 333)",1,1
"(82, 372)",1,1
"(137, 333)",1,1
"(196, 392)",1,1
"(98, 247)",1,1
"(200, 480)",1,1
"(72, 274)",1,1
"(8, 372)",1,1
"(206, 386)",1,0
"(80, 225)",1,1
"(210, 480)",1,1
"(101, 329)",1,1
"(120, 330)",1,1
"(103, 273)",1,1
"(112, 264)",1,1
"(4, 293)",1,1
"(8, 344)",1,1
"(199, 303)",1,1
"(80, 264)",1,1
"(144, 401)",1,0
"(82, 353)",1,1
"(203, 359)",1,1
"(111, 342)",1,1
"(182, 223)",1,1
